epoch,train_acc,test_acc,loss_total,loss_ce,loss_smooth,loss_comp
1,13.58,21.35,2.833545,2.831558,0.17796,0.207095
2,24.46,30.72,2.009566,2.009076,0.035988,0.13015
3,30.97,32.67,1.859366,1.858792,0.041927,0.154455
4,34.09,37.77,1.772265,1.77167,0.041102,0.184638
5,38.23,40.49,1.703481,1.70286,0.042996,0.191535
6,39.79,42.38,1.621476,1.620833,0.04459,0.197493
7,43.87,45.09,1.516993,1.516271,0.051021,0.211798
8,46.8,47.33,1.450934,1.450146,0.056253,0.226166
9,49.53,50.71,1.37779,1.376939,0.061605,0.234886
10,51.95,52.1,1.331938,1.331053,0.064584,0.239323
